start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:20:18.214, 2021-07-23 17:20:55.050, 36, Score Voting, Vote 07, 61731
2021-07-23 17:21:01.163, 2021-07-23 17:21:16.626, 15, Modified Borda Count, Vote 08, 61731
2021-07-23 17:21:21.892, 2021-07-23 17:21:44.152, 22, Majority Voting, Vote 09, 61731
2021-07-23 17:21:49.319, 2021-07-23 17:22:06.712, 17, Combined Approval, Vote 10, 61731
2021-07-23 17:22:12.085, 2021-07-23 17:22:34.088, 22, Score Voting, Vote 11, 61731
2021-07-23 17:22:39.132, 2021-07-23 17:22:59.614, 20, Modified Borda Count, Vote 12, 61731
2021-07-23 17:23:06.082, 2021-07-23 17:23:34.312, 28, Majority Voting, Vote 13, 61731
2021-07-23 17:23:39.427, 2021-07-23 17:24:00.831, 21, Combined Approval, Vote 14, 61731
2021-07-23 17:24:05.885, 2021-07-23 17:24:30.573, 24, Score Voting, Vote 15, 61731
2021-07-23 17:24:35.937, 2021-07-23 17:24:58.097, 22, Modified Borda Count, Vote 16, 61731
2021-07-23 16:22:30.747, 2021-07-23 16:23:07.218, 36, Majority Voting, Vote 01, 71632
2021-07-23 16:23:13.384, 2021-07-23 16:23:52.227, 38, Combined Approval, Vote 02, 71632
2021-07-23 16:23:57.268, 2021-07-23 16:24:23.082, 25, Score Voting, Vote 03, 71632
2021-07-23 16:24:39.851, 2021-07-23 16:25:47.404, 67, Modified Borda Count, Vote 04, 71632
2021-07-23 16:25:52.530, 2021-07-23 16:27:16.323, 83, Majority Voting, Vote 05, 71632
2021-07-23 16:27:21.549, 2021-07-23 16:27:48.896, 27, Combined Approval, Vote 06, 71632
2021-07-23 16:27:53.728, 2021-07-23 16:28:12.619, 18, Score Voting, Vote 07, 71632
2021-07-23 16:28:17.437, 2021-07-23 16:28:36.432, 18, Modified Borda Count, Vote 08, 71632
2021-07-23 16:28:42.056, 2021-07-23 16:29:24.056, 42, Majority Voting, Vote 09, 71632
2021-07-23 16:29:36.820, 2021-07-23 16:29:47.515, 10, Combined Approval, Vote 10, 71632
2021-07-23 16:29:53.001, 2021-07-23 16:30:09.364, 16, Score Voting, Vote 11, 71632
2021-07-23 16:30:15.438, 2021-07-23 16:30:28.712, 13, Modified Borda Count, Vote 12, 71632
2021-07-23 16:30:59.716, 2021-07-23 16:32:29.550, 89, Majority Voting, Vote 13, 71632
2021-07-23 16:32:34.453, 2021-07-23 16:32:42.122, 7, Combined Approval, Vote 14, 71632
2021-07-23 16:32:47.341, 2021-07-23 16:33:12.128, 24, Score Voting, Vote 15, 71632
2021-07-23 16:33:17.097, 2021-07-23 16:34:02.498, 45, Modified Borda Count, Vote 16, 71632
2021-06-15 22:59:32.242, 2021-06-15 22:59:49.728, 17, Majority Voting, Vote 01, 71672
2021-06-15 23:00:02.909, 2021-06-15 23:00:08.908, 5, Combined Approval, Vote 02, 71672
2021-06-15 22:59:54.464, 2021-06-15 22:59:57.621, 3, Score Voting, Vote 03, 71672
2021-06-15 23:00:31.451, 2021-06-15 23:00:34.440, 2, Combined Approval, Vote 14, 71672
2021-06-15 23:00:15.335, 2021-06-15 23:00:24.042, 8, Score Voting, Vote 15, 71672
2021-07-21 15:16:41.957, 2021-07-21 15:16:47.307, 5, Score Voting, Vote 07, 71795
2021-07-21 15:17:26.819, 2021-07-21 15:17:30.035, 3, Majority Voting, Vote 09, 71795
2021-07-21 15:16:52.129, 2021-07-21 15:16:55.412, 3, Combined Approval, Vote 10, 71795
2021-07-21 15:17:35.547, 2021-07-21 15:17:38.476, 2, Score Voting, Vote 11, 71795
2021-07-21 15:17:43.993, 2021-07-21 15:17:49.075, 5, Modified Borda Count, Vote 12, 71795
2021-07-21 15:17:55.026, 2021-07-21 15:17:57.076, 2, Majority Voting, Vote 13, 71795
2021-07-21 15:17:16.748, 2021-07-21 15:17:20.267, 3, Combined Approval, Vote 14, 71795
2021-07-21 15:18:02.204, 2021-07-21 15:18:04.237, 2, Score Voting, Vote 15, 71795
2021-07-21 15:18:09.242, 2021-07-21 15:18:12.524, 3, Modified Borda Count, Vote 16, 71795
2021-01-29 09:12:14.112, 2021-01-29 09:12:43.396, 29, Majority Voting, Vote 01, 73657
2021-01-29 09:12:49.034, 2021-01-29 09:13:14.023, 24, Combined Approval, Vote 02, 73657
2021-01-29 09:13:19.299, 2021-01-29 09:13:43.425, 24, Score Voting, Vote 03, 73657
2021-01-29 09:13:48.541, 2021-01-29 09:14:33.918, 45, Modified Borda Count, Vote 04, 73657
2021-01-29 09:14:40.610, 2021-01-29 09:15:38.415, 57, Majority Voting, Vote 05, 73657
2021-01-29 09:15:43.592, 2021-01-29 09:16:13.930, 30, Combined Approval, Vote 06, 73657
2021-01-29 09:16:20.895, 2021-01-29 09:16:38.964, 18, Score Voting, Vote 07, 73657
2021-01-29 09:16:44.260, 2021-01-29 09:16:57.857, 13, Modified Borda Count, Vote 08, 73657
2021-01-29 09:17:02.743, 2021-01-29 09:17:11.619, 8, Majority Voting, Vote 09, 73657
2021-01-29 09:17:16.792, 2021-01-29 09:17:32.073, 15, Combined Approval, Vote 10, 73657
2021-01-29 09:17:37.273, 2021-01-29 09:17:54.207, 16, Score Voting, Vote 11, 73657
2021-01-29 09:17:59.145, 2021-01-29 09:18:10.943, 11, Modified Borda Count, Vote 12, 73657
2021-01-29 09:18:15.947, 2021-01-29 09:18:32.895, 16, Majority Voting, Vote 13, 73657
2021-01-29 09:18:38.056, 2021-01-29 09:19:02.126, 24, Combined Approval, Vote 14, 73657
2021-01-29 09:19:06.663, 2021-01-29 09:19:26.860, 20, Score Voting, Vote 15, 73657
2021-01-29 09:19:31.350, 2021-01-29 09:19:51.042, 19, Modified Borda Count, Vote 16, 73657
2021-01-19 19:54:31.830, 2021-01-19 19:54:46.187, 14, Majority Voting, Vote 01, 76917
2021-01-19 19:54:51.932, 2021-01-19 19:55:33.191, 41, Combined Approval, Vote 02, 76917
2021-01-20 09:53:27.049, 2021-01-20 09:53:50.962, 23, Score Voting, Vote 03, 76917
2021-01-20 09:53:56.327, 2021-01-20 09:54:36.372, 40, Modified Borda Count, Vote 04, 76917
2021-01-20 09:54:41.721, 2021-01-20 09:55:08.072, 26, Majority Voting, Vote 05, 76917
2021-01-20 09:55:13.152, 2021-01-20 09:55:32.066, 18, Combined Approval, Vote 06, 76917
2021-01-20 09:55:37.306, 2021-01-20 09:55:59.216, 21, Score Voting, Vote 07, 76917
2021-01-20 09:56:05.796, 2021-01-20 09:56:14.750, 8, Modified Borda Count, Vote 08, 76917
2021-01-20 09:56:21.018, 2021-01-20 09:56:30.364, 9, Majority Voting, Vote 09, 76917
2021-01-20 09:56:35.424, 2021-01-20 09:56:46.748, 11, Combined Approval, Vote 10, 76917
2021-01-20 09:56:51.738, 2021-01-20 09:57:08.244, 16, Score Voting, Vote 11, 76917
2021-01-20 09:57:13.421, 2021-01-20 09:58:26.891, 73, Modified Borda Count, Vote 12, 76917
2021-01-20 09:58:31.824, 2021-01-20 09:58:47.471, 15, Majority Voting, Vote 13, 76917
