time, state, vote_mechanism, vote_name, short_id
2021-07-29 17:43:56.888, ["2"; "0"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:43:58.870, ["2"; "0"; "1"; "5"; "1"], Score Voting, Vote 11, 61287
2021-07-29 17:43:59.105, ["2"; "0"; "1"; "5"; "2"], Score Voting, Vote 11, 61287
2021-07-29 17:43:59.850, ["2"; "0"; "1"; "5"; "3"], Score Voting, Vote 11, 61287
2021-07-29 17:44:00.978, ["2"; "0"; "1"; "5"; "2"], Score Voting, Vote 11, 61287
2021-07-29 17:44:01.163, ["2"; "0"; "1"; "5"; "1"], Score Voting, Vote 11, 61287
2021-07-29 17:44:01.347, ["2"; "0"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:03.921, ["1"; "0"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:05.330, ["2"; "0"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:05.498, ["3"; "0"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:06.585, ["3"; "1"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:06.752, ["3"; "2"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:06.919, ["3"; "3"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:07.053, ["3"; "4"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:08.148, ["2"; "4"; "1"; "5"; "0"], Score Voting, Vote 11, 61287
2021-07-29 17:44:17.231, ["0"; "0"; "0"; "1"; "0"], Modified Borda Count, Vote 12, 61287
2021-07-29 17:44:19.480, ["0"; "1"; "0"; "2"; "0"], Modified Borda Count, Vote 12, 61287
2021-07-29 17:44:21.188, ["1"; "2"; "0"; "3"; "0"], Modified Borda Count, Vote 12, 61287
2021-07-29 17:44:22.675, ["2"; "3"; "0"; "4"; "1"], Modified Borda Count, Vote 12, 61287
